,city,job_title,company_name,location,summary,salary
111,New+York,Research Analyst – Healthcare & Life Sciences,Marsh,"New York, NY",Excellent research synthesis skills allowing you to draw out key insights and to provide basic data analysis....,nothing_found
112,New+York,Insurance Predictive Modeling Analyst,IFG Companies,"New York, NY 10022 (Midtown area)",Assist IT Department in refining and enhancing IFG’s data warehouse – including the creation of a data dictionary....,nothing_found
113,New+York,Behavioral Risk Research Associate,EcoHealth Alliance,"Manhattan, NY",The Behavioral Risk Research Associate will work closely with other staff including scientists with expertise in:....,nothing_found
114,New+York,"Senior Manager, Data Science",Capital One,"New York, NY 10261 (Murray Hill area)","Senior Manager, Data Science. Writing software to clean and investigate large, messy data sets of numerical and textual data....",nothing_found
115,New+York,Research Analyst - Global Infrastructure,Cohen And Steers,"New York, NY","The Research Analyst will conduct in-depth company and industry-level research on the Asia Pacific listed infrastructure universe, and will be responsible for...",nothing_found
116,New+York,"Manager, Data Science",Weight Watchers International,"New York, NY","Manage the team of Data Scientists in their day-to-day operations, modeling reviews, and approaches around data problem solving....",nothing_found
117,New+York,Computational Biologist I,Memorial Sloan Kettering,"New York, NY","Analyze data sets to discover and annotate cancer-causing genetic mutations in body fluids. Fluency with UNIX, next generation (Next-gen) sequencing data...",nothing_found
118,New+York,Bioinformatics Analyst,Albert Einstein College of Medicine,"Bronx, NY","Including papillomavirus sequence, microbiome data, both 16S and other, and human genomic data. Utilize existing pipelines to process and analyze high...",nothing_found
119,New+York,"Data Communications Research Associate Manager, Stats/Metrics",Facebook,"New York, NY","Ensure quality by reviewing and providing feedback on work done by other analysts, data scientists, and PR leaders....",nothing_found
120,New+York,Research and Analytics - Senior Research Analyst - Vice President,JP Morgan Chase,"New York, NY 10004 (Financial District area)","Seeks to understand the meaning behind complex data, apply analysis techniques, and translate analysis into easy-to-understand and actionable observations....",nothing_found
121,New+York,Research Analyst - Global Infrastructure,Cohen And Steers,"New York, NY","The Research Analyst will conduct in-depth company and industry-level research on the Asia Pacific listed infrastructure universe, and will be responsible for...",nothing_found
122,New+York,"Manager, Data Science",Weight Watchers International,"New York, NY","Manage the team of Data Scientists in their day-to-day operations, modeling reviews, and approaches around data problem solving....",nothing_found
123,New+York,Computational Biologist I,Memorial Sloan Kettering,"New York, NY","Analyze data sets to discover and annotate cancer-causing genetic mutations in body fluids. Fluency with UNIX, next generation (Next-gen) sequencing data...",nothing_found
124,New+York,Bioinformatics Analyst,Albert Einstein College of Medicine,"Bronx, NY","Including papillomavirus sequence, microbiome data, both 16S and other, and human genomic data. Utilize existing pipelines to process and analyze high...",nothing_found
125,New+York,"Data Communications Research Associate Manager, Stats/Metrics",Facebook,"New York, NY","Ensure quality by reviewing and providing feedback on work done by other analysts, data scientists, and PR leaders....",nothing_found
126,New+York,Research and Analytics - Senior Research Analyst - Vice President,JP Morgan Chase,"New York, NY 10004 (Financial District area)","Seeks to understand the meaning behind complex data, apply analysis techniques, and translate analysis into easy-to-understand and actionable observations....",nothing_found
127,New+York,Research Analyst,King.com,"New York, NY","0-2 years experience with data analysis, qualitative and/or quantitative advertising analysis including effectiveness research, or experience with audience and...",nothing_found
128,New+York,Sr. Data Scientist,Nielsen,"New York, NY 10003 (Greenwich Village area)",Data Scientist - 11651. Data Scientist is responsible for supporting all analytical needs for the Methods Center....,nothing_found
129,New+York,"Director, Data Science",Capital One,"New York, NY 10261 (Murray Hill area)","Director, Data Science. Lead a team of data scientists to explore & evaluate the landscape of data, tools & cutting-edge techniques to build predictive models...",nothing_found
